arm,smote_k,smote_strategy,scale_pos_weight,threshold,auc_pr,macro_f1,precision,recall,f2,n,positives,flagged,tn,fp,fn,tp,base_rate,auc_roc
as-submitted (all fixes),3,0.2,7.49,0.34,0.1033,0.4618,0.0351,0.2857,0.1176,248,7,57,186,55,5,2,0.0282,0.5969
rollback SMOTE k 3 -> 5,5,0.2,7.49,0.13,0.1044,0.3531,0.0376,0.7143,0.1553,248,7,133,113,128,2,5,0.0282,0.6271
rollback threshold F2 -> fixed 0.62,3,0.2,7.49,0.62,0.1033,0.5496,0.1,0.2857,0.2083,248,7,20,223,18,5,2,0.0282,0.5969
rollback scale_pos_weight -> 1.0,3,0.2,1.0,0.31,0.1233,0.5496,0.1,0.2857,0.2083,248,7,20,223,18,5,2,0.0282,0.6212
rollback SMOTE removed,3,,7.49,0.74,0.076,0.5388,0.0909,0.1429,0.1282,248,7,11,231,10,6,1,0.0282,0.6669
